NACE Rev.2 (economic activities), Sex, Macroregions  development regions and counties, Years, MU: Thousands persons, Valoare
TOTAL, Total, Bihor, Year 2013, Thousands persons, 266.4
TOTAL, Total, Bihor, Year 2014, Thousands persons, 264.8
TOTAL, Total, Bihor, Year 2015, Thousands persons, 262.8
TOTAL, Total, Bihor, Year 2016, Thousands persons, 259.6
TOTAL, Total, Bihor, Year 2017, Thousands persons, 260.4
TOTAL, Total, Bihor, Year 2018, Thousands persons, 261.5
TOTAL, Total, Bihor, Year 2019, Thousands persons, 260.5
TOTAL, Total, Bihor, Year 2020, Thousands persons, 259
TOTAL, Total, Bihor, Year 2021, Thousands persons, 230.5
TOTAL, Total, Bihor, Year 2022, Thousands persons, 235.1
TOTAL, Total, Bihor, Year 2023, Thousands persons, 233.2
TOTAL, Total, Bihor, Year 2024, Thousands persons, 231.8
TOTAL, Total, Bistrita-Nasaud, Year 2013, Thousands persons, 130.2
TOTAL, Total, Bistrita-Nasaud, Year 2014, Thousands persons, 128.8
TOTAL, Total, Bistrita-Nasaud, Year 2015, Thousands persons, 129.1
TOTAL, Total, Bistrita-Nasaud, Year 2016, Thousands persons, 127.2
TOTAL, Total, Bistrita-Nasaud, Year 2017, Thousands persons, 127.3
TOTAL, Total, Bistrita-Nasaud, Year 2018, Thousands persons, 125
TOTAL, Total, Bistrita-Nasaud, Year 2019, Thousands persons, 125.2
TOTAL, Total, Bistrita-Nasaud, Year 2020, Thousands persons, 125.1
TOTAL, Total, Bistrita-Nasaud, Year 2021, Thousands persons, 108.5
TOTAL, Total, Bistrita-Nasaud, Year 2022, Thousands persons, 112.1
TOTAL, Total, Bistrita-Nasaud, Year 2023, Thousands persons, 109.3
TOTAL, Total, Bistrita-Nasaud, Year 2024, Thousands persons, 107.4
TOTAL, Total, Cluj, Year 2013, Thousands persons, 337.8
TOTAL, Total, Cluj, Year 2014, Thousands persons, 343.7
TOTAL, Total, Cluj, Year 2015, Thousands persons, 345.2
TOTAL, Total, Cluj, Year 2016, Thousands persons, 352.6
TOTAL, Total, Cluj, Year 2017, Thousands persons, 358.4
TOTAL, Total, Cluj, Year 2018, Thousands persons, 361.3
TOTAL, Total, Cluj, Year 2019, Thousands persons, 369
TOTAL, Total, Cluj, Year 2020, Thousands persons, 368.8
TOTAL, Total, Cluj, Year 2021, Thousands persons, 346.1
TOTAL, Total, Cluj, Year 2022, Thousands persons, 357
TOTAL, Total, Cluj, Year 2023, Thousands persons, 355.1
TOTAL, Total, Cluj, Year 2024, Thousands persons, 351.7
TOTAL, Total, Maramures, Year 2013, Thousands persons, 201.1
TOTAL, Total, Maramures, Year 2014, Thousands persons, 199.4
TOTAL, Total, Maramures, Year 2015, Thousands persons, 195.7
TOTAL, Total, Maramures, Year 2016, Thousands persons, 190
TOTAL, Total, Maramures, Year 2017, Thousands persons, 192.7
TOTAL, Total, Maramures, Year 2018, Thousands persons, 194.3
TOTAL, Total, Maramures, Year 2019, Thousands persons, 196.6
TOTAL, Total, Maramures, Year 2020, Thousands persons, 195.2
TOTAL, Total, Maramures, Year 2021, Thousands persons, 172
TOTAL, Total, Maramures, Year 2022, Thousands persons, 175.3
TOTAL, Total, Maramures, Year 2023, Thousands persons, 172
TOTAL, Total, Maramures, Year 2024, Thousands persons, 170.4
TOTAL, Total, Satu Mare, Year 2013, Thousands persons, 151.2
TOTAL, Total, Satu Mare, Year 2014, Thousands persons, 149.4
TOTAL, Total, Satu Mare, Year 2015, Thousands persons, 145.3
TOTAL, Total, Satu Mare, Year 2016, Thousands persons, 140.9
TOTAL, Total, Satu Mare, Year 2017, Thousands persons, 143
TOTAL, Total, Satu Mare, Year 2018, Thousands persons, 142.6
TOTAL, Total, Satu Mare, Year 2019, Thousands persons, 142.7
TOTAL, Total, Satu Mare, Year 2020, Thousands persons, 140.6
TOTAL, Total, Satu Mare, Year 2021, Thousands persons, 123.2
TOTAL, Total, Satu Mare, Year 2022, Thousands persons, 125.9
TOTAL, Total, Satu Mare, Year 2023, Thousands persons, 123.2
TOTAL, Total, Satu Mare, Year 2024, Thousands persons, 121.9
TOTAL, Total, Salaj, Year 2013, Thousands persons, 101.3
TOTAL, Total, Salaj, Year 2014, Thousands persons, 100.3
TOTAL, Total, Salaj, Year 2015, Thousands persons, 97.9
TOTAL, Total, Salaj, Year 2016, Thousands persons, 97.7
TOTAL, Total, Salaj, Year 2017, Thousands persons, 98
TOTAL, Total, Salaj, Year 2018, Thousands persons, 97.9
TOTAL, Total, Salaj, Year 2019, Thousands persons, 99.1
TOTAL, Total, Salaj, Year 2020, Thousands persons, 98.7
TOTAL, Total, Salaj, Year 2021, Thousands persons, 85.3
TOTAL, Total, Salaj, Year 2022, Thousands persons, 88.1
TOTAL, Total, Salaj, Year 2023, Thousands persons, 85.5
TOTAL, Total, Salaj, Year 2024, Thousands persons, 83.7
TOTAL, Total, Alba, Year 2013, Thousands persons, 163.3
TOTAL, Total, Alba, Year 2014, Thousands persons, 159.6
TOTAL, Total, Alba, Year 2015, Thousands persons, 159.2
TOTAL, Total, Alba, Year 2016, Thousands persons, 159.9
TOTAL, Total, Alba, Year 2017, Thousands persons, 162.1
TOTAL, Total, Alba, Year 2018, Thousands persons, 162.5
TOTAL, Total, Alba, Year 2019, Thousands persons, 163.3
TOTAL, Total, Alba, Year 2020, Thousands persons, 162.8
