NACE Rev.2 (economic activities), Sex, Macroregions  development regions and counties, Years, MU: Lei  lei RON (from 2005), Valoare
TOTAL, Total, Bihor, Year 2013, Lei, 1155
TOTAL, Total, Bihor, Year 2014, Lei, 1299
TOTAL, Total, Bihor, Year 2015, Lei, 1396
TOTAL, Total, Bihor, Year 2016, Lei, 1563
TOTAL, Total, Bihor, Year 2017, Lei, 1871
TOTAL, Total, Bihor, Year 2018, Lei, 2087
TOTAL, Total, Bihor, Year 2019, Lei, 2385
TOTAL, Total, Bihor, Year 2020, Lei, 2603
TOTAL, Total, Bihor, Year 2021, Lei, 2766
TOTAL, Total, Bihor, Year 2022, Lei, 3099
TOTAL, Total, Bihor, Year 2023, Lei, 3609
TOTAL, Total, Bihor, Year 2024, Lei, 4095
TOTAL, Total, Bistrita-Nasaud, Year 2013, Lei, 1198
TOTAL, Total, Bistrita-Nasaud, Year 2014, Lei, 1273
TOTAL, Total, Bistrita-Nasaud, Year 2015, Lei, 1483
TOTAL, Total, Bistrita-Nasaud, Year 2016, Lei, 1587
TOTAL, Total, Bistrita-Nasaud, Year 2017, Lei, 1815
TOTAL, Total, Bistrita-Nasaud, Year 2018, Lei, 2044
TOTAL, Total, Bistrita-Nasaud, Year 2019, Lei, 2405
TOTAL, Total, Bistrita-Nasaud, Year 2020, Lei, 2538
TOTAL, Total, Bistrita-Nasaud, Year 2021, Lei, 2644
TOTAL, Total, Bistrita-Nasaud, Year 2022, Lei, 2951
TOTAL, Total, Bistrita-Nasaud, Year 2023, Lei, 3447
TOTAL, Total, Bistrita-Nasaud, Year 2024, Lei, 3942
TOTAL, Total, Cluj, Year 2013, Lei, 1672
TOTAL, Total, Cluj, Year 2014, Lei, 1857
TOTAL, Total, Cluj, Year 2015, Lei, 2025
TOTAL, Total, Cluj, Year 2016, Lei, 2340
TOTAL, Total, Cluj, Year 2017, Lei, 2668
TOTAL, Total, Cluj, Year 2018, Lei, 3026
TOTAL, Total, Cluj, Year 2019, Lei, 3449
TOTAL, Total, Cluj, Year 2020, Lei, 3744
TOTAL, Total, Cluj, Year 2021, Lei, 4046
TOTAL, Total, Cluj, Year 2022, Lei, 4679
TOTAL, Total, Cluj, Year 2023, Lei, 5344
TOTAL, Total, Cluj, Year 2024, Lei, 5921
TOTAL, Total, Maramures, Year 2013, Lei, 1165
TOTAL, Total, Maramures, Year 2014, Lei, 1292
TOTAL, Total, Maramures, Year 2015, Lei, 1376
TOTAL, Total, Maramures, Year 2016, Lei, 1572
TOTAL, Total, Maramures, Year 2017, Lei, 1886
TOTAL, Total, Maramures, Year 2018, Lei, 2127
TOTAL, Total, Maramures, Year 2019, Lei, 2437
TOTAL, Total, Maramures, Year 2020, Lei, 2595
TOTAL, Total, Maramures, Year 2021, Lei, 2721
TOTAL, Total, Maramures, Year 2022, Lei, 3068
TOTAL, Total, Maramures, Year 2023, Lei, 3562
TOTAL, Total, Maramures, Year 2024, Lei, 4177
TOTAL, Total, Satu Mare, Year 2013, Lei, 1279
TOTAL, Total, Satu Mare, Year 2014, Lei, 1344
TOTAL, Total, Satu Mare, Year 2015, Lei, 1465
TOTAL, Total, Satu Mare, Year 2016, Lei, 1659
TOTAL, Total, Satu Mare, Year 2017, Lei, 1931
TOTAL, Total, Satu Mare, Year 2018, Lei, 2173
TOTAL, Total, Satu Mare, Year 2019, Lei, 2510
TOTAL, Total, Satu Mare, Year 2020, Lei, 2656
TOTAL, Total, Satu Mare, Year 2021, Lei, 2816
TOTAL, Total, Satu Mare, Year 2022, Lei, 3133
TOTAL, Total, Satu Mare, Year 2023, Lei, 3587
TOTAL, Total, Satu Mare, Year 2024, Lei, 4094
TOTAL, Total, Salaj, Year 2013, Lei, 1219
TOTAL, Total, Salaj, Year 2014, Lei, 1327
TOTAL, Total, Salaj, Year 2015, Lei, 1493
TOTAL, Total, Salaj, Year 2016, Lei, 1604
TOTAL, Total, Salaj, Year 2017, Lei, 1891
TOTAL, Total, Salaj, Year 2018, Lei, 2177
TOTAL, Total, Salaj, Year 2019, Lei, 2547
TOTAL, Total, Salaj, Year 2020, Lei, 2677
TOTAL, Total, Salaj, Year 2021, Lei, 2884
TOTAL, Total, Salaj, Year 2022, Lei, 3135
TOTAL, Total, Salaj, Year 2023, Lei, 3690
TOTAL, Total, Salaj, Year 2024, Lei, 4155
TOTAL, Total, Alba, Year 2013, Lei, 1323
TOTAL, Total, Alba, Year 2014, Lei, 1433
TOTAL, Total, Alba, Year 2015, Lei, 1588
TOTAL, Total, Alba, Year 2016, Lei, 1767
TOTAL, Total, Alba, Year 2017, Lei, 2057
TOTAL, Total, Alba, Year 2018, Lei, 2375
TOTAL, Total, Alba, Year 2019, Lei, 2664
TOTAL, Total, Alba, Year 2020, Lei, 2846
TOTAL, Total, Alba, Year 2021, Lei, 3070
TOTAL, Total, Alba, Year 2022, Lei, 3325
TOTAL, Total, Alba, Year 2023, Lei, 3837
TOTAL, Total, Alba, Year 2024, Lei, 4326
TOTAL, Total, Brasov, Year 2013, Lei, 1486
TOTAL, Total, Brasov, Year 2014, Lei, 1604
TOTAL, Total, Brasov, Year 2015, Lei, 1783
TOTAL, Total, Brasov, Year 2016, Lei, 2020
TOTAL, Total, Brasov, Year 2017, Lei, 2314
TOTAL, Total, Brasov, Year 2018, Lei, 2609
TOTAL, Total, Brasov, Year 2019, Lei, 2916
TOTAL, Total, Brasov, Year 2020, Lei, 3111
TOTAL, Total, Brasov, Year 2021, Lei, 3319
TOTAL, Total, Brasov, Year 2022, Lei, 3740
TOTAL, Total, Brasov, Year 2023, Lei, 4404
TOTAL, Total, Brasov, Year 2024, Lei, 5019
TOTAL, Total, Covasna, Year 2013, Lei, 1179
TOTAL, Total, Covasna, Year 2014, Lei, 1267
TOTAL, Total, Covasna, Year 2015, Lei, 1400
TOTAL, Total, Covasna, Year 2016, Lei, 1542
TOTAL, Total, Covasna, Year 2017, Lei, 1858
TOTAL, Total, Covasna, Year 2018, Lei, 2098
TOTAL, Total, Covasna, Year 2019, Lei, 2379
TOTAL, Total, Covasna, Year 2020, Lei, 2579
TOTAL, Total, Covasna, Year 2021, Lei, 2677
TOTAL, Total, Covasna, Year 2022, Lei, 2993
TOTAL, Total, Covasna, Year 2023, Lei, 3529
TOTAL, Total, Covasna, Year 2024, Lei, 3896
TOTAL, Total, Harghita, Year 2013, Lei, 1130
TOTAL, Total, Harghita, Year 2014, Lei, 1251
TOTAL, Total, Harghita, Year 2015, Lei, 1375
TOTAL, Total, Harghita, Year 2016, Lei, 1519
TOTAL, Total, Harghita, Year 2017, Lei, 1796
TOTAL, Total, Harghita, Year 2018, Lei, 2059
TOTAL, Total, Harghita, Year 2019, Lei, 2349
TOTAL, Total, Harghita, Year 2020, Lei, 2483
TOTAL, Total, Harghita, Year 2021, Lei, 2687
TOTAL, Total, Harghita, Year 2022, Lei, 2924
TOTAL, Total, Harghita, Year 2023, Lei, 3490
TOTAL, Total, Harghita, Year 2024, Lei, 3955
TOTAL, Total, Mures, Year 2013, Lei, 1386
TOTAL, Total, Mures, Year 2014, Lei, 1509
TOTAL, Total, Mures, Year 2015, Lei, 1630
TOTAL, Total, Mures, Year 2016, Lei, 1853
TOTAL, Total, Mures, Year 2017, Lei, 2112
TOTAL, Total, Mures, Year 2018, Lei, 2459
TOTAL, Total, Mures, Year 2019, Lei, 2739
TOTAL, Total, Mures, Year 2020, Lei, 2975
TOTAL, Total, Mures, Year 2021, Lei, 3117
TOTAL, Total, Mures, Year 2022, Lei, 3456
TOTAL, Total, Mures, Year 2023, Lei, 4041
TOTAL, Total, Mures, Year 2024, Lei, 4492
TOTAL, Total, Sibiu, Year 2013, Lei, 1543
TOTAL, Total, Sibiu, Year 2014, Lei, 1616
TOTAL, Total, Sibiu, Year 2015, Lei, 1822
TOTAL, Total, Sibiu, Year 2016, Lei, 2046
TOTAL, Total, Sibiu, Year 2017, Lei, 2315
TOTAL, Total, Sibiu, Year 2018, Lei, 2626
TOTAL, Total, Sibiu, Year 2019, Lei, 2976
TOTAL, Total, Sibiu, Year 2020, Lei, 3165
TOTAL, Total, Sibiu, Year 2021, Lei, 3442
TOTAL, Total, Sibiu, Year 2022, Lei, 3775
TOTAL, Total, Sibiu, Year 2023, Lei, 4392
TOTAL, Total, Sibiu, Year 2024, Lei, 4942
TOTAL, Total, Bacau, Year 2013, Lei, 1355
TOTAL, Total, Bacau, Year 2014, Lei, 1455
TOTAL, Total, Bacau, Year 2015, Lei, 1581
TOTAL, Total, Bacau, Year 2016, Lei, 1739
TOTAL, Total, Bacau, Year 2017, Lei, 2031
TOTAL, Total, Bacau, Year 2018, Lei, 2270
TOTAL, Total, Bacau, Year 2019, Lei, 2603
TOTAL, Total, Bacau, Year 2020, Lei, 2825
TOTAL, Total, Bacau, Year 2021, Lei, 2977
TOTAL, Total, Bacau, Year 2022, Lei, 3335
TOTAL, Total, Bacau, Year 2023, Lei, 3948
TOTAL, Total, Bacau, Year 2024, Lei, 4474
TOTAL, Total, Botosani, Year 2013, Lei, 1216
TOTAL, Total, Botosani, Year 2014, Lei, 1347
TOTAL, Total, Botosani, Year 2015, Lei, 1491
TOTAL, Total, Botosani, Year 2016, Lei, 1571
TOTAL, Total, Botosani, Year 2017, Lei, 1887
TOTAL, Total, Botosani, Year 2018, Lei, 2174
TOTAL, Total, Botosani, Year 2019, Lei, 2501
TOTAL, Total, Botosani, Year 2020, Lei, 2671
TOTAL, Total, Botosani, Year 2021, Lei, 2695
TOTAL, Total, Botosani, Year 2022, Lei, 2958
TOTAL, Total, Botosani, Year 2023, Lei, 3430
TOTAL, Total, Botosani, Year 2024, Lei, 3941
TOTAL, Total, Iasi, Year 2013, Lei, 1499
TOTAL, Total, Iasi, Year 2014, Lei, 1649
TOTAL, Total, Iasi, Year 2015, Lei, 1798
TOTAL, Total, Iasi, Year 2016, Lei, 1940
TOTAL, Total, Iasi, Year 2017, Lei, 2338
TOTAL, Total, Iasi, Year 2018, Lei, 2691
TOTAL, Total, Iasi, Year 2019, Lei, 3125
TOTAL, Total, Iasi, Year 2020, Lei, 3327
TOTAL, Total, Iasi, Year 2021, Lei, 3557
TOTAL, Total, Iasi, Year 2022, Lei, 3939
TOTAL, Total, Iasi, Year 2023, Lei, 4568
TOTAL, Total, Iasi, Year 2024, Lei, 5098
TOTAL, Total, Neamt, Year 2013, Lei, 1198
TOTAL, Total, Neamt, Year 2014, Lei, 1274
TOTAL, Total, Neamt, Year 2015, Lei, 1359
TOTAL, Total, Neamt, Year 2016, Lei, 1575
TOTAL, Total, Neamt, Year 2017, Lei, 1866
TOTAL, Total, Neamt, Year 2018, Lei, 2083
TOTAL, Total, Neamt, Year 2019, Lei, 2395
TOTAL, Total, Neamt, Year 2020, Lei, 2590
TOTAL, Total, Neamt, Year 2021, Lei, 2713
TOTAL, Total, Neamt, Year 2022, Lei, 3041
TOTAL, Total, Neamt, Year 2023, Lei, 3542
TOTAL, Total, Neamt, Year 2024, Lei, 4013
TOTAL, Total, Suceava, Year 2013, Lei, 1256
TOTAL, Total, Suceava, Year 2014, Lei, 1352
TOTAL, Total, Suceava, Year 2015, Lei, 1489
TOTAL, Total, Suceava, Year 2016, Lei, 1593
TOTAL, Total, Suceava, Year 2017, Lei, 1876
TOTAL, Total, Suceava, Year 2018, Lei, 2118
TOTAL, Total, Suceava, Year 2019, Lei, 2445
TOTAL, Total, Suceava, Year 2020, Lei, 2646
TOTAL, Total, Suceava, Year 2021, Lei, 2737
TOTAL, Total, Suceava, Year 2022, Lei, 3042
TOTAL, Total, Suceava, Year 2023, Lei, 3588
TOTAL, Total, Suceava, Year 2024, Lei, 4071
TOTAL, Total, Vaslui, Year 2013, Lei, 1172
TOTAL, Total, Vaslui, Year 2014, Lei, 1304
TOTAL, Total, Vaslui, Year 2015, Lei, 1387
TOTAL, Total, Vaslui, Year 2016, Lei, 1627
TOTAL, Total, Vaslui, Year 2017, Lei, 1877
TOTAL, Total, Vaslui, Year 2018, Lei, 2161
TOTAL, Total, Vaslui, Year 2019, Lei, 2482
TOTAL, Total, Vaslui, Year 2020, Lei, 2673
TOTAL, Total, Vaslui, Year 2021, Lei, 2711
TOTAL, Total, Vaslui, Year 2022, Lei, 2981
TOTAL, Total, Vaslui, Year 2023, Lei, 3446
TOTAL, Total, Vaslui, Year 2024, Lei, 3929
TOTAL, Total, Braila, Year 2013, Lei, 1263
TOTAL, Total, Braila, Year 2014, Lei, 1348
TOTAL, Total, Braila, Year 2015, Lei, 1462
TOTAL, Total, Braila, Year 2016, Lei, 1587
TOTAL, Total, Braila, Year 2017, Lei, 1859
TOTAL, Total, Braila, Year 2018, Lei, 2119
TOTAL, Total, Braila, Year 2019, Lei, 2428
TOTAL, Total, Braila, Year 2020, Lei, 2607
TOTAL, Total, Braila, Year 2021, Lei, 2693
TOTAL, Total, Braila, Year 2022, Lei, 2972
TOTAL, Total, Braila, Year 2023, Lei, 3446
TOTAL, Total, Braila, Year 2024, Lei, 3912
TOTAL, Total, Buzau, Year 2013, Lei, 1294
TOTAL, Total, Buzau, Year 2014, Lei, 1326
TOTAL, Total, Buzau, Year 2015, Lei, 1484
TOTAL, Total, Buzau, Year 2016, Lei, 1644
TOTAL, Total, Buzau, Year 2017, Lei, 1903
TOTAL, Total, Buzau, Year 2018, Lei, 2170
TOTAL, Total, Buzau, Year 2019, Lei, 2450
TOTAL, Total, Buzau, Year 2020, Lei, 2644
TOTAL, Total, Buzau, Year 2021, Lei, 2773
TOTAL, Total, Buzau, Year 2022, Lei, 2996
TOTAL, Total, Buzau, Year 2023, Lei, 3595
TOTAL, Total, Buzau, Year 2024, Lei, 4067
TOTAL, Total, Constanta, Year 2013, Lei, 1486
TOTAL, Total, Constanta, Year 2014, Lei, 1571
TOTAL, Total, Constanta, Year 2015, Lei, 1735
