Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Bihor, Year 2013, Number of persons, 4403
Total, Total, Total, Bihor, Year 2014, Number of persons, 3898
Total, Total, Total, Bihor, Year 2015, Number of persons, 3805
Total, Total, Total, Bihor, Year 2016, Number of persons, 3939
Total, Total, Total, Bihor, Year 2017, Number of persons, 5085
Total, Total, Total, Bihor, Year 2018, Number of persons, 4946
Total, Total, Total, Bihor, Year 2019, Number of persons, 5801
Total, Total, Total, Bihor, Year 2020, Number of persons, 4170
Total, Total, Total, Bihor, Year 2021, Number of persons, 5578
Total, Total, Total, Bihor, Year 2022, Number of persons, 8397
Total, Total, Total, Bihor, Year 2023, Number of persons, 9273
Total, Total, Total, Bihor, Year 2024, Number of persons, 8199
Total, Total, Total, Bistrita-Nasaud, Year 2013, Number of persons, 2167
Total, Total, Total, Bistrita-Nasaud, Year 2014, Number of persons, 1919
Total, Total, Total, Bistrita-Nasaud, Year 2015, Number of persons, 1873
Total, Total, Total, Bistrita-Nasaud, Year 2016, Number of persons, 1939
Total, Total, Total, Bistrita-Nasaud, Year 2017, Number of persons, 2503
Total, Total, Total, Bistrita-Nasaud, Year 2018, Number of persons, 2434
Total, Total, Total, Bistrita-Nasaud, Year 2019, Number of persons, 2855
Total, Total, Total, Bistrita-Nasaud, Year 2020, Number of persons, 2052
Total, Total, Total, Bistrita-Nasaud, Year 2021, Number of persons, 2745
Total, Total, Total, Bistrita-Nasaud, Year 2022, Number of persons, 4132
Total, Total, Total, Bistrita-Nasaud, Year 2023, Number of persons, 4675
Total, Total, Total, Bistrita-Nasaud, Year 2024, Number of persons, 4133
Total, Total, Total, Cluj, Year 2013, Number of persons, 5525
Total, Total, Total, Cluj, Year 2014, Number of persons, 4892
Total, Total, Total, Cluj, Year 2015, Number of persons, 4775
Total, Total, Total, Cluj, Year 2016, Number of persons, 4943
Total, Total, Total, Cluj, Year 2017, Number of persons, 6381
Total, Total, Total, Cluj, Year 2018, Number of persons, 6206
Total, Total, Total, Cluj, Year 2019, Number of persons, 7279
Total, Total, Total, Cluj, Year 2020, Number of persons, 5233
Total, Total, Total, Cluj, Year 2021, Number of persons, 7000
Total, Total, Total, Cluj, Year 2022, Number of persons, 10538
Total, Total, Total, Cluj, Year 2023, Number of persons, 11036
Total, Total, Total, Cluj, Year 2024, Number of persons, 9757
