CANE Rev.2 (activity of national economy-sections), Size clases, Macroregions  development regions and counties, Years, MU: Number, Valoare
Total, Total, Bihor, Year 2013, Number, 16302
Total, Total, Bihor, Year 2014, Number, 17360
Total, Total, Bihor, Year 2015, Number, 17424
Total, Total, Bihor, Year 2016, Number, 17994
Total, Total, Bihor, Year 2017, Number, 18902
Total, Total, Bihor, Year 2018, Number, 19617
Total, Total, Bihor, Year 2019, Number, 19821
Total, Total, Bihor, Year 2020, Number, 20854
Total, Total, Bihor, Year 2021, Number, 21762
Total, Total, Bihor, Year 2022, Number, 22513
Total, Total, Bihor, Year 2023, Number, 23889
Total, Total, Bihor, Year 2024, Number, 24446
Total, Total, Bistrita-Nasaud, Year 2013, Number, 5904
Total, Total, Bistrita-Nasaud, Year 2014, Number, 6123
Total, Total, Bistrita-Nasaud, Year 2015, Number, 6221
Total, Total, Bistrita-Nasaud, Year 2016, Number, 6497
Total, Total, Bistrita-Nasaud, Year 2017, Number, 6976
Total, Total, Bistrita-Nasaud, Year 2018, Number, 7453
Total, Total, Bistrita-Nasaud, Year 2019, Number, 7762
Total, Total, Bistrita-Nasaud, Year 2020, Number, 8568
Total, Total, Bistrita-Nasaud, Year 2021, Number, 8913
Total, Total, Bistrita-Nasaud, Year 2022, Number, 9275
Total, Total, Bistrita-Nasaud, Year 2023, Number, 9659
Total, Total, Bistrita-Nasaud, Year 2024, Number, 9898
Total, Total, Cluj, Year 2013, Number, 25375
Total, Total, Cluj, Year 2014, Number, 27153
Total, Total, Cluj, Year 2015, Number, 28126
Total, Total, Cluj, Year 2016, Number, 29754
Total, Total, Cluj, Year 2017, Number, 32028
Total, Total, Cluj, Year 2018, Number, 34107
Total, Total, Cluj, Year 2019, Number, 34989
Total, Total, Cluj, Year 2020, Number, 36580
Total, Total, Cluj, Year 2021, Number, 38695
Total, Total, Cluj, Year 2022, Number, 40184
Total, Total, Cluj, Year 2023, Number, 42435
Total, Total, Cluj, Year 2024, Number, 43995
Total, Total, Maramures, Year 2013, Number, 9307
Total, Total, Maramures, Year 2014, Number, 9938
Total, Total, Maramures, Year 2015, Number, 10106
Total, Total, Maramures, Year 2016, Number, 10355
Total, Total, Maramures, Year 2017, Number, 10978
Total, Total, Maramures, Year 2018, Number, 11304
Total, Total, Maramures, Year 2019, Number, 11657
Total, Total, Maramures, Year 2020, Number, 12492
Total, Total, Maramures, Year 2021, Number, 13203
Total, Total, Maramures, Year 2022, Number, 13636
Total, Total, Maramures, Year 2023, Number, 14398
Total, Total, Maramures, Year 2024, Number, 14730
Total, Total, Satu Mare, Year 2013, Number, 6888
Total, Total, Satu Mare, Year 2014, Number, 7226
Total, Total, Satu Mare, Year 2015, Number, 7287
Total, Total, Satu Mare, Year 2016, Number, 7488
Total, Total, Satu Mare, Year 2017, Number, 7844
Total, Total, Satu Mare, Year 2018, Number, 8019
Total, Total, Satu Mare, Year 2019, Number, 8169
Total, Total, Satu Mare, Year 2020, Number, 8639
Total, Total, Satu Mare, Year 2021, Number, 8976
Total, Total, Satu Mare, Year 2022, Number, 9088
Total, Total, Satu Mare, Year 2023, Number, 9604
Total, Total, Satu Mare, Year 2024, Number, 9783
Total, Total, Salaj, Year 2013, Number, 4429
Total, Total, Salaj, Year 2014, Number, 4644
Total, Total, Salaj, Year 2015, Number, 4696
Total, Total, Salaj, Year 2016, Number, 4894
Total, Total, Salaj, Year 2017, Number, 5083
Total, Total, Salaj, Year 2018, Number, 5347
Total, Total, Salaj, Year 2019, Number, 5667
Total, Total, Salaj, Year 2020, Number, 6004
Total, Total, Salaj, Year 2021, Number, 6188
Total, Total, Salaj, Year 2022, Number, 6232
Total, Total, Salaj, Year 2023, Number, 6460
Total, Total, Salaj, Year 2024, Number, 6575
Total, Total, Alba, Year 2013, Number, 7321
Total, Total, Alba, Year 2014, Number, 7563
Total, Total, Alba, Year 2015, Number, 7730
Total, Total, Alba, Year 2016, Number, 7923
Total, Total, Alba, Year 2017, Number, 8161
Total, Total, Alba, Year 2018, Number, 8536
Total, Total, Alba, Year 2019, Number, 9110
Total, Total, Alba, Year 2020, Number, 9745
Total, Total, Alba, Year 2021, Number, 10221
Total, Total, Alba, Year 2022, Number, 10416
Total, Total, Alba, Year 2023, Number, 10996
Total, Total, Alba, Year 2024, Number, 11078
Total, Total, Brasov, Year 2013, Number, 17295
Total, Total, Brasov, Year 2014, Number, 17911
Total, Total, Brasov, Year 2015, Number, 18185
Total, Total, Brasov, Year 2016, Number, 18726
Total, Total, Brasov, Year 2017, Number, 19801
Total, Total, Brasov, Year 2018, Number, 20696
Total, Total, Brasov, Year 2019, Number, 21484
Total, Total, Brasov, Year 2020, Number, 22763
Total, Total, Brasov, Year 2021, Number, 23810
Total, Total, Brasov, Year 2022, Number, 24563
Total, Total, Brasov, Year 2023, Number, 26260
Total, Total, Brasov, Year 2024, Number, 26908
Total, Total, Covasna, Year 2013, Number, 3777
Total, Total, Covasna, Year 2014, Number, 3792
Total, Total, Covasna, Year 2015, Number, 3672
Total, Total, Covasna, Year 2016, Number, 3788
Total, Total, Covasna, Year 2017, Number, 3996
Total, Total, Covasna, Year 2018, Number, 4155
Total, Total, Covasna, Year 2019, Number, 4329
Total, Total, Covasna, Year 2020, Number, 4517
Total, Total, Covasna, Year 2021, Number, 4589
Total, Total, Covasna, Year 2022, Number, 4655
Total, Total, Covasna, Year 2023, Number, 4900
Total, Total, Covasna, Year 2024, Number, 4867
Total, Total, Harghita, Year 2013, Number, 7105
Total, Total, Harghita, Year 2014, Number, 7289
Total, Total, Harghita, Year 2015, Number, 7114
Total, Total, Harghita, Year 2016, Number, 7157
Total, Total, Harghita, Year 2017, Number, 7343
Total, Total, Harghita, Year 2018, Number, 7504
Total, Total, Harghita, Year 2019, Number, 7804
Total, Total, Harghita, Year 2020, Number, 7979
Total, Total, Harghita, Year 2021, Number, 8174
Total, Total, Harghita, Year 2022, Number, 8272
Total, Total, Harghita, Year 2023, Number, 8735
Total, Total, Harghita, Year 2024, Number, 8813
Total, Total, Mures, Year 2013, Number, 11838
Total, Total, Mures, Year 2014, Number, 12279
Total, Total, Mures, Year 2015, Number, 12486
Total, Total, Mures, Year 2016, Number, 13004
Total, Total, Mures, Year 2017, Number, 13630
Total, Total, Mures, Year 2018, Number, 14209
Total, Total, Mures, Year 2019, Number, 14711
