Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
0- 4 years, Total, Total, Bihor, Year 2013, Number of persons, 30148
0- 4 years, Total, Total, Bihor, Year 2014, Number of persons, 29248
0- 4 years, Total, Total, Bihor, Year 2015, Number of persons, 28702
0- 4 years, Total, Total, Bihor, Year 2016, Number of persons, 28365
0- 4 years, Total, Total, Bihor, Year 2017, Number of persons, 28656
0- 4 years, Total, Total, Bihor, Year 2018, Number of persons, 29312
0- 4 years, Total, Total, Bihor, Year 2019, Number of persons, 30019
0- 4 years, Total, Total, Bihor, Year 2020, Number of persons, 30317
0- 4 years, Total, Total, Bihor, Year 2021, Number of persons, 30547
0- 4 years, Total, Total, Bihor, Year 2022, Number of persons, 30165
0- 4 years, Total, Total, Bihor, Year 2023, Number of persons, 29866
0- 4 years, Total, Total, Bihor, Year 2024, Number of persons, 29033
0- 4 years, Total, Total, Bistrita-Nasaud, Year 2013, Number of persons, 15963
0- 4 years, Total, Total, Bistrita-Nasaud, Year 2014, Number of persons, 15703
0- 4 years, Total, Total, Bistrita-Nasaud, Year 2015, Number of persons, 15671
0- 4 years, Total, Total, Bistrita-Nasaud, Year 2016, Number of persons, 15804
0- 4 years, Total, Total, Bistrita-Nasaud, Year 2017, Number of persons, 16298
0- 4 years, Total, Total, Bistrita-Nasaud, Year 2018, Number of persons, 16798
0- 4 years, Total, Total, Bistrita-Nasaud, Year 2019, Number of persons, 17066
0- 4 years, Total, Total, Bistrita-Nasaud, Year 2020, Number of persons, 17234
0- 4 years, Total, Total, Bistrita-Nasaud, Year 2021, Number of persons, 17221
0- 4 years, Total, Total, Bistrita-Nasaud, Year 2022, Number of persons, 17085
0- 4 years, Total, Total, Bistrita-Nasaud, Year 2023, Number of persons, 16644
0- 4 years, Total, Total, Bistrita-Nasaud, Year 2024, Number of persons, 15939
0- 4 years, Total, Total, Cluj, Year 2013, Number of persons, 32145
0- 4 years, Total, Total, Cluj, Year 2014, Number of persons, 31720
0- 4 years, Total, Total, Cluj, Year 2015, Number of persons, 31995
0- 4 years, Total, Total, Cluj, Year 2016, Number of persons, 32244
0- 4 years, Total, Total, Cluj, Year 2017, Number of persons, 33389
0- 4 years, Total, Total, Cluj, Year 2018, Number of persons, 34771
0- 4 years, Total, Total, Cluj, Year 2019, Number of persons, 36059
0- 4 years, Total, Total, Cluj, Year 2020, Number of persons, 36920
0- 4 years, Total, Total, Cluj, Year 2021, Number of persons, 37175
0- 4 years, Total, Total, Cluj, Year 2022, Number of persons, 36499
0- 4 years, Total, Total, Cluj, Year 2023, Number of persons, 36146
0- 4 years, Total, Total, Cluj, Year 2024, Number of persons, 34855
0- 4 years, Total, Total, Maramures, Year 2013, Number of persons, 23651
0- 4 years, Total, Total, Maramures, Year 2014, Number of persons, 22332
0- 4 years, Total, Total, Maramures, Year 2015, Number of persons, 21894
0- 4 years, Total, Total, Maramures, Year 2016, Number of persons, 21873
0- 4 years, Total, Total, Maramures, Year 2017, Number of persons, 22352
0- 4 years, Total, Total, Maramures, Year 2018, Number of persons, 23502
0- 4 years, Total, Total, Maramures, Year 2019, Number of persons, 24428
0- 4 years, Total, Total, Maramures, Year 2020, Number of persons, 24628
0- 4 years, Total, Total, Maramures, Year 2021, Number of persons, 24475
0- 4 years, Total, Total, Maramures, Year 2022, Number of persons, 22789
0- 4 years, Total, Total, Maramures, Year 2023, Number of persons, 22430
0- 4 years, Total, Total, Maramures, Year 2024, Number of persons, 21224
0- 4 years, Total, Total, Satu Mare, Year 2013, Number of persons, 18344
0- 4 years, Total, Total, Satu Mare, Year 2014, Number of persons, 17349
0- 4 years, Total, Total, Satu Mare, Year 2015, Number of persons, 17020
0- 4 years, Total, Total, Satu Mare, Year 2016, Number of persons, 16718
0- 4 years, Total, Total, Satu Mare, Year 2017, Number of persons, 16951
0- 4 years, Total, Total, Satu Mare, Year 2018, Number of persons, 17796
0- 4 years, Total, Total, Satu Mare, Year 2019, Number of persons, 18191
0- 4 years, Total, Total, Satu Mare, Year 2020, Number of persons, 18309
0- 4 years, Total, Total, Satu Mare, Year 2021, Number of persons, 18414
