Age group and ages, Sex, Years, MU: Persons, Valoare
Total, Total, Year 2013, Number of persons,153646
Total, Total, Year 2014, Number of persons,136035
Total, Total, Year 2015, Number of persons,132795
Total, Total, Year 2016, Number of persons,137455
Total, Total, Year 2017, Number of persons,177435
Total, Total, Year 2018, Number of persons,172578
Total, Total, Year 2019, Number of persons,202422
Total, Total, Year 2020, Number of persons,145519
Total, Total, Year 2021, Number of persons,194642
Total, Total, Year 2022, Number of persons,293024
Total, Total, Year 2023, Number of persons,324091
Total, Total, Year 2024, Number of persons,286538
